DEBUG | 2023-11-17 18:51:43,653 | the client sent: 4!TIME
DEBUG | 2023-11-17 18:51:43,654 | the client recieve: 18:51:43
DEBUG | 2023-11-17 18:58:37,270 | the client sent: 4!NAME
DEBUG | 2023-11-17 18:58:37,272 | the client recieve: daniel's server
DEBUG | 2023-11-17 19:02:23,332 | the client sent: 4!NAME
DEBUG | 2023-11-17 19:04:06,005 | the client sent: 4!NAME
DEBUG | 2023-11-17 19:04:06,006 | the client recieve: daniel's server
DEBUG | 2023-11-17 19:04:26,825 | the client sent: 4!EXIT
DEBUG | 2023-11-17 19:11:03,492 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:11:03,497 | the client recieve: 19:11:03
DEBUG | 2023-11-17 19:11:50,983 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:11:50,984 | the client recieve: 19:11:50
DEBUG | 2023-11-17 19:13:08,643 | the client sent: 4!EXIT
DEBUG | 2023-11-17 19:13:47,133 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:13:47,134 | the client recieve: 19:13:47
DEBUG | 2023-11-17 19:13:56,493 | the client sent: 4!EXIT
DEBUG | 2023-11-17 19:15:33,320 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:15:33,320 | the client recieve: 9
DEBUG | 2023-11-17 19:17:03,302 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:17:03,303 | the client recieve: 10
DEBUG | 2023-11-17 19:17:50,722 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:17:50,722 | the client recieve: 1
DEBUG | 2023-11-17 19:18:23,024 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:18:23,025 | the client recieve: 10
DEBUG | 2023-11-17 19:20:19,137 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:21:00,499 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:21:00,500 | the client recieve: 19:21:00
DEBUG | 2023-11-17 19:21:25,981 | the client sent: 4!NAME
DEBUG | 2023-11-17 19:21:25,981 | the client recieve: daniel's server
DEBUG | 2023-11-17 19:21:54,597 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:21:54,598 | the client recieve: 1
DEBUG | 2023-11-17 19:22:51,143 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:22:51,144 | the client recieve: 4
DEBUG | 2023-11-17 19:25:12,865 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:25:12,866 | the client recieve: 5
DEBUG | 2023-11-17 19:27:18,450 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:27:48,334 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:28:32,316 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:29:45,874 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:30:30,454 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:31:25,735 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:33:23,993 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:36:00,755 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:36:00,756 | the client recieve: 19:36:00
DEBUG | 2023-11-17 19:36:16,723 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:36:16,724 | the client recieve: 4
DEBUG | 2023-11-17 19:37:16,437 | the client sent: 4!NAME
DEBUG | 2023-11-17 19:37:16,438 | the client recieve: daniel's server
DEBUG | 2023-11-17 19:37:57,890 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:37:57,890 | the client recieve: 19:37:57
DEBUG | 2023-11-17 19:38:00,691 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:38:00,692 | the client recieve: 5
DEBUG | 2023-11-17 19:38:53,476 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:38:53,477 | the client recieve: 7
DEBUG | 2023-11-17 19:39:15,670 | the client sent: 4!EXIT
DEBUG | 2023-11-17 19:39:43,640 | the client sent: 4!TIME
DEBUG | 2023-11-17 19:39:43,640 | the client recieve: 19:39:43
DEBUG | 2023-11-17 19:39:47,626 | the client sent: 4!RAND
DEBUG | 2023-11-17 19:39:47,627 | the client recieve: 7
DEBUG | 2023-11-17 19:39:52,963 | the client sent: 4!NAME
DEBUG | 2023-11-17 19:39:52,964 | the client recieve: daniel's server
DEBUG | 2023-11-17 19:40:06,646 | the client sent: 4!EXIT
DEBUG | 2023-11-18 10:14:20,643 | the client sent: 4!TIME
DEBUG | 2023-11-18 10:14:20,644 | the client recieve: 10:14:20
DEBUG | 2023-11-18 10:14:41,250 | the client sent: 4!RAND
DEBUG | 2023-11-18 10:14:41,251 | the client recieve: 9
DEBUG | 2023-11-18 10:14:59,202 | the client sent: 4!NAME
DEBUG | 2023-11-18 10:14:59,203 | the client recieve: daniel's server
DEBUG | 2023-11-18 10:15:35,608 | the client sent: 4!EXIT
DEBUG | 2023-11-18 10:45:07,128 | the client sent: 4!TIME
DEBUG | 2023-11-18 10:45:07,129 | the client receive: 10:45:07
DEBUG | 2023-11-18 10:45:38,756 | the client sent: 4!RAND
DEBUG | 2023-11-18 10:45:38,756 | the client receive: 1
DEBUG | 2023-11-18 10:45:57,636 | the client sent: 4!NAME
DEBUG | 2023-11-18 10:45:57,637 | the client receive: daniel's server
DEBUG | 2023-11-18 10:46:11,184 | the client sent: 4!EXIT
DEBUG | 2023-11-18 10:46:32,598 | the client sent: 4!RAND
DEBUG | 2023-11-18 10:46:32,598 | the client receive: 10
DEBUG | 2023-11-18 10:46:44,022 | the client sent: 4!EXIT
DEBUG | 2023-11-18 10:48:24,360 | the client sent: 4!TIME
DEBUG | 2023-11-18 10:48:24,361 | the client receive: 10:48:24
DEBUG | 2023-11-18 10:48:32,103 | the client sent: 4!EXIT
